username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
The Verge,"Open letter from CEOs, politicians, and labor leaders asks Amazon to return to NYC - The Verge",0,0,0,0,0.506763,0,0
The New York Times,Uber and Lyft Said to Offer Drivers a Chance to Participate in I.P.O.s - The New York Times,0,0,0,0,0,0,0
10tv.com,JC Penney closing more stores after a weak holiday season - 10TV,0,0,0,0,0,0,0
Wtae.com,Health officials say Pittsburgh plants must halt pollution - WTAE Pittsburgh,0,0,0,0,0.687768,0.618451,0
Yahoo.com,63% of millennial homeowners regret buying home: survey - Yahoo Finance,0,0,0,0.731792,0,0,0
Kwwl.com,Victoria's Secret plans to close dozens of stores - kwwl.com,0,0,0,0,0,0,0
Washingtonexaminer.com,North Korea and China fallout: Trump needs to learn the art of managing expectations - Washington Examiner,0,0,0,0,0.926173,0,0
Sfgate.com,"An 'emotional support' pit bull mauled a 5-year-old girl at Portland airport, lawsuit says - SFGate",0,0,0,0.73156,0,0,0
Huffpost.com,Man Accused Of Dipping Testicles In Salsa As Revenge For Low Tip - HuffPost,0.683313,0,0,0,0,0,0
Dailywire.com,"Oprah's Weight Watchers Stock Plummets, Loses $58 Million - The Daily Wire",0,0,0,0,0,0,0
Statnews.com,"Suddenly, the Bristol-Celgene deal is looking shaky. What's next? - STAT",0,0.622611,0,0,0,0,0.902459
Business Insider,"Inside the 40-year business partnership of Warren Buffett and Charlie Munger, who both started out working in the same grocery store and reportedly haven't had a fight in 60 years - Business Insider",0,0,0,0,0,0,0
Marketrealist.com,Spotify Faces Several Challenges in India - Market Realist,0,0,0,0,0.762356,0,0
Recode,"Amazon wants to sell ""every genuine product in the world."" That's a mistake. - Recode",0,0,0,0.671136,0.931994,0.98198,0
Ars Technica,"After delays, OneWeb launches its first six low-Earth broadband satellites - Ars Technica",0,0,0,0.68285,0.620279,0,0
Yahoo.com,"Kraft Heinz lawsuit targets 3G stock transfer, writedown, SEC probe - Yahoo Finance",0,0,0,0,0,0,0
Cyprus-mail.com,5-8 trillion cubic feet gas find 'encouraging' says energy giant - Cyprus Mail,0,0,0,0,0.702145,0,0
Fool.com,Why Booking Holdings Is Losing Altitude Today - Motley Fool,0,0,0,0.729578,0,0,0
Oilprice.com,Saudi Arabia Oil Exports To US Nosedive | OilPrice.com - OilPrice.com,0,0,0,0,0,0,0
Reuters,"Kia, Hyundai expand U.S. engine fire recalls by 534,000 vehicles - Reuters",0,0,0,0,0,0,0
Ganjapreneur.com,Study Reveals Broad Therapeutic Impact of THC - Ganjapreneur,0,0,0,0,0.506763,0,0
Ajc.com,"DOT fines Delta $750,000 for long tarmac delays - Atlanta Journal Constitution",0,0,0,0.559884,0,0,0
Ajc.com,"Students reportedly drinking rum, bourbon extract to get drunk - Atlanta Journal Constitution",0,0,0,0,0,0,0
CNBC,"Trump got a strong economy in 2018, but first quarter of this year looks weak - CNBC",0,0,0,0,0,0,0
Biospace.com,Novavax RSV Vaccine Fails to Hit Primary Endpoint in Phase III Trial - BioSpace,0,0,0,0,0,0,0
CNBC,"Target goes preppy, again, in teaming up with Vineyard Vines - CNBC",0,0,0,0,0,0,0
Theaircurrent.com,Rolls-Royce withdrawal may signal fast-approaching Boeing 797 engine pick - The Air Current,0,0,0,0,0.762356,0,0.75152
Thisisinsider.com,Anheuser-Busch rolls out more alcohol-free beers - INSIDER,0,0,0,0,0,0,0
Freep.com,"Little Caesars free pizza coupon is fake, possibly a virus - Detroit Free Press",0,0,0,0.551199,0,0,0.716301
Adage.com,Martha Stewart is cooking up cannabis products | CMO Strategy - AdAge.com,0,0,0,0,0.653099,0,0
Foxbusiness.com,Southwest Airlines approved by FAA for flights to Hawaii - Fox Business,0,0,0,0,0,0,0
Barrons.com,Disney Wants to Buy AT&T's Stake in Hulu - Barron's,0,0,0,0,0,0,0
Yahoo.com,"PG&E Corporation (PCG) Q4 Earnings Beat, Revenues Decline - Yahoo Finance",0,0,0,0,0,0,0
Gizmodo.com,"Four Hospitalized After 'Sweet, Burning' Odor Fills Alaska Airlines Flight - Gizmodo",0,0,0.610225,0,0,0,0
CNBC,Coyote fur is in big demand thanks to popular parkas - CNBC,0,0,0,0,0,0,0
Marketwatch.com,Mortgage rates stay subdued as housing reform issues grab the spotlight - MarketWatch,0,0,0,0,0.620279,0,0
Bmwblog.com,BMW and Daimler Announce Agreement for Autonomous Driving R&D - BMWBLOG,0,0,0,0,0,0,0
Axios,"Login - February 28, 2019 - Axios",0,0,0,0.587248,0,0,0
Simpleflying.com,When Will British Airways Retire Its Last 747 Now The Boeing 777X Is On Order? - Simple Flying,0,0,0,0,0,0,0
Fox17.com,You can get paid $14 an hour to taste test chocolate - WZTV,0,0,0,0,0,0,0
Foxbusiness.com,Carlos Ghosn's new legal team has applied for bail - Fox Business,0,0,0,0,0,0,0
Businessreport.com,Praxair to build hydrogen plant in Louisiana - Greater Baton Rouge Business Report,0,0,0.615177,0,0,0.543112,0
Cbs8.com,Californians lose millions of dollars in recycling deposits - CBS 8 San Diego,0,0,0,0.654893,0,0,0
Associated Press,Farm loan delinquencies highest in 9 years as prices slump - The Associated Press,0,0,0,0,0,0,0
CNN,"The slowdown in China's economy just cost 1,400 Illinois auto workers their jobs - CNN",0,0,0,0,0,0,0.647986
USA Today,"Many disabled Walmart greeters are being replaced by 'customer hosts,' causing backlash - USA TODAY",0,0,0,0.686701,0.560098,0,0
Wkrn.com,Maryville man accused of dipping testicles in customer's salsa - WKRN News 2,0.602097,0,0,0,0,0,0
USA Today,Southwest Airlines wing scrapes runway during aborted landing in Hartford - USA TODAY,0,0,0,0,0,0,0
Kuow.org,Remember Amazon's head tax 'threat'? Now it's pulling out of the Rainier Square tower anyway - KUOW News and Information,0,0,0,0.544941,0.870325,0,0
Cleantechnica.com,The Polestar 2 Set To Bring Luxury & Performance In 2020 - CleanTechnica,0,0,0.519254,0,0,0,0
Investors.com,Palo Alto Stages Breakaway Gap To Lead Top Stocks At New Highs - Investor's Business Daily,0,0,0.667671,0,0.587989,0,0
CNBC,Fed Chair Powell says balance sheet decision market is waiting for is 'close' to happening - CNBC,0,0,0,0.511638,0.506763,0,0
Newsok.com,"Chesapeake Energy reports 2018 fourth quarter, full year results - NewsOK.com",0,0,0,0,0.653099,0,0
CNN,Best Buy's hot streak continues - CNN,0,0,0.604487,0,0,0,0
Barrons.com,Lowe‰Ûªs Stock Rises Because Earnings Show It‰Ûªs Catching Up With Home Depot - Barron's,0,0,0,0,0.589295,0,0
Fortune,Trump Softens Stance on China as Huawei Poses for Win - Fortune,0,0,0.74618,0,0,0,0
Business Insider,Elon Musk's erratic Twitter behavior escalated Wednesday when he changed his name to 'Elon Tusk' - Business Insider,0,0,0,0,0,0,0
The Verge,FedEx unveils autonomous delivery robot - The Verge,0,0,0,0,0,0,0
CNN,China lost 161 billionaires because its stock markets tanked - CNN,0,0,0,0.514707,0.687768,0,0
CNN,Wynn Resorts hit with record fine for ignoring Steve Wynn misconduct allegations - CNN,0,0,0,0.611776,0,0,0
CNN,Stranded Amtrak train heads north to Seattle. The trip's almost over for all the passengers - CNN,0,0,0,0,0,0,0
Wlos.com,Oprah-backed Weight Watchers tumbles on profit warning - WLOS,0,0,0,0,0,0,0
Wbng.com,US appeals court blesses AT&T's $81B merger with Time Warner - WBNG-TV,0,0,0.735527,0,0,0,0
