,source,date,title,description
52,Theathletic.com,2019-02-28T12:34:24Z,"Fran McCaffery's suspension is a PR hit, but lapses in... - The Athletic",Fan confidence in Hawkeyes AD Gary Barta is shaken as another of the university's most recognizable figures is caught up in controversy.
53,Overthemonster.com,2019-02-28T12:00:00Z,"Boston Red Sox News: Jackie Bradley Jr., Brock Holt, Michael Chavis - Over The Monster","In today’s links, Jackie Bradley Jr. can focus on offense and defense while Brock Holt improves as a leader and Michael Chavis has a strong start to spring."
54,Tennisworldusa.org,2019-02-28T11:10:25Z,"Tsitsipas beat Federer, now he is a top contender to win Dubai - Tahlak - Tennis World USA",The Dubai Duty-Free Tennis Championship Tournament Director Salah Tahlak looks forward to an amazing week of tennis
55,Lightninginsider.com,2019-02-28T08:42:47Z,Another franchise record falls as Tampa Bay Lightning continue to pile up the points - lightninginsider.com,"Started by former Tampa Tribune hockey writer Erik Erlendsson, LightningInsider.com strives to be a gathering place for all hockey fans to come for insightful coverage of the greatest sport on ice."
56,Tmz.com,2019-02-28T08:10:00Z,Jon Jones Gunning to Finish MMA Career with 50-0 Record - TMZ,Jon Jones says he wants to get to 50 WINS before he ends his MMA career.
57,Nbcsports.com,2019-02-28T06:50:21Z,Gulp: Giants and Bryce Harper have reportedly discussed a 10-year deal - NBCSports.com,"The Giants' reported 10-year contract discussion with Bryce Harper probably has to do with the Dodgers. Either way, it's not good for the Phillies. By Corey Seidman"
58,Mapleleafshotstove.com,2019-02-28T06:44:00Z,Toronto Maple Leafs Notebook: The injury bug strikes - Maple Leafs Hot Stove,Trade deadline day came and went with the Toronto Maple Leafs making one small move that has some minor implications. We will get into those a little bit later. First thing is first: The Leafs made their big trade deadline move early – adding a legitimate top…
59,Blazersedge.com,2019-02-28T04:32:31Z,Maurice Harkless Shines in Trail Blazers’ Tough Win Over Celtics - Blazer's Edge,The Trail Blazers relied on their defense in a 97-92 victory over the Celtics.
60,News-gazette.com,2019-02-28T02:38:00Z,LIVE! Purdue - Champaign/Urbana News-Gazette,Boilermakers pull away for win
61,Silverscreenandroll.com,2019-02-27T23:59:52Z,"Lakers News: LeBron James has been impressed by Brandon Ingram, Kyle Kuzma - Silver Screen and Roll ",Brandon Ingram and Kyle Kuzma have been carrying their weight for the Lakers. LeBron James has noticed.
62,Nbcsports.com,2019-02-27T23:35:52Z,"Cardinals coach, GM discuss Murray-Rosen speculation - NBCSports.com","Could the Cardinals really draft Kyler Murray? Anything is possible, and Steve Keim’s comments certainly didn’t close the door."
63,Ufc.com,2019-02-27T22:25:03Z,Usman Knew Greatness Awaited Him - UFC,
64,Blavity.com,2019-02-27T22:16:18Z,Russell Westbrook Was All Of Us When People Don't Keep Their Kids In Check - Blavity,NBA star Russell Westbrook had to politely check a...
65,NFL News,2019-02-27T21:38:00Z,Cowboys to support Randy Gregory amid suspension - NFL.com,"In wake of his fourth suspension for violating the league's substance abuse policy, Randy Gregory will have full support from the Dallas Cowboys, says head coach Jason Garrett."
66,Espn.com,2019-02-27T21:15:36Z,Reports - 'Pacman' arrested at Indiana casino - ESPN,"NFL veteran Adam 'Pacman' Jones was charged with public intoxication, disorderly conduct, intimidation and resisting arrest at an Indiana casino early Wednesday morning."
67,Golfchannel.com,2019-02-27T19:39:00Z,Tiger among those pulling for Compton at Honda after Monday qualifying - Golf Channel,"Erik Compton, who is playing the Web.com Tour, won the Monday qualifier to get into the Honda Classic. After, he received a good luck text from Tiger Woods."
68,Dukechronicle.com,2019-02-27T05:23:44Z,Duke men's basketball's lack of identity without Zion Williamson highlighted in loss - Duke Chronicle,"Ever since the Spartanburg, S.C., native went down due to injury against North Carolina last Wednesday, the Blue Devils have not looked the same.&nbsp;"
69,Toledoblade.com,2019-02-27T04:15:58Z,Iowa coach berates official after Ohio State game - Toledo Blade,"COLUMBUS — Combustible Iowa coach Fran McCaffery was suspended by the university for two games after an outburst after Tuesday’s game at Ohio State, which ..."
