source,date,title,description
Digitaltrends.com,2019-03-03T20:57:19Z,"Ninja-like black hole discovered gobbling up a gas cloud 25,000 light-years away - Digital Trends","How do you find something you can't see? Japanese astronomers have hunted a hidden black hole by observing the movement of a cloud of gas it is consuming, located 25,000 light-years away from Earth. This is the first intermediate-sized black hole ever found, …"
Digitaltrends.com,2019-03-03T19:25:49Z,Ability to twist like magic may make spider silk the robotic muscle of the future - Digital Trends,"Researchers from MIT have discovered a new property of spider silk that could make it the robotic muscle of the future. The team found that not only are silk fibers very resilient, but they can also twist and contract with great force when exposed to varying …"
Youtube.com,2019-03-03T19:23:36Z,Apollo 9: 'A Hell of a Ride' - NASA,"50 years ago, we tested the capabilities of our Moon landing spacecraft in Earth’s orbit. Commander James McDivitt, Command Module Pilot David Scott and Luna..."
The New York Times,2019-03-03T18:33:45Z,A Swimmer Saved by What She Lost - The New York Times,"Tormented by pain, Morgan Stickney made the agonizing decision to have her lower leg removed. The groundbreaking procedure may change the course of her life, and the future of amputations."
Digitaltrends.com,2019-03-03T18:26:21Z,Did there used to be liquid water on Mars? New images give clues - Digital Trends,"Mars may be cold and dry now, but new evidence suggests in the distant past the conditions on the planet were very different. The Mars Express orbiter has captured images of a region of branching valleys and trenches which suggest that liquid water once flowe…"
The Jerusalem Post,2019-03-03T03:07:45Z,Beresheet shuttle completes another maneuver on way to moon - The Jerusalem Post,"“The maneuver was executed as expected,” Ido Anteby, CEO of SpaceIL, said. “Beresheet’s main engine was activated for four minutes.”"

Gizmodo.com,2019-03-06T19:30:00Z,Scientists Might Finally Know Why Some Icebergs Are Bright Green - Gizmodo,"In the 18th-century English ballad The Rime of the Ancient Mariner, a storm drives a sailor’s ship toward the South Pole, where he encounters all manner of fantastical sights, including floating icebergs “as green as emerald.” It may sound like author Samuel …"
Sciencenews.org,2019-03-06T19:00:04Z,Hominids may have hunted rabbits as far back as 400000 years ago - Science News,Stone Age groups in Europe put small game on the menu surprisingly early.
Nypost.com,2019-03-06T18:32:00Z,"Colossal asteroid set to travel by Earth on Friday, NASA says we will be fine - New York Post ","A giant space rock, which measures between 298 and 656 feet wide, is set to travel by Earth this Friday, March 8 — but don't worry, humanity has nothing to fear."
CNBC,2019-03-06T18:31:59Z,Elon Musk on SpaceX: 'I always thought we would fail' - CNBC,"Elon Musk thought he would lose millions of dollars he made from selling PayPal by starting SpaceX, but it was ""worth trying anyway."""
Engadget,2019-03-06T18:29:46Z,The first all-female spacewalk takes place March 29th - Engadget,"After several decades of human spaceflight, you're finally going to see the first all-female spacewalk.  NASA has confirmed that astronauts Anne McClain and Chr..."
Bbc.com,2019-03-06T18:04:49Z,Wetland mud is 'secret weapon' against climate change - BBC News,"Muddy, coastal marshes could store more carbon as sea levels rise, scientists reveal."
Nature.com,2019-03-06T18:01:04Z,Autophagy induction via STING trafficking is a primordial function of the cGAS pathway - Nature.com,The authors report that the cGAS–STING pathway drives a form of autophagy that is independent of interferon induction and distinct from the conventional autophagy.
Hackaday.com,2019-03-06T18:01:00Z,"Ask Hackaday: Earth's Magnetic Field Shifting Rapidly, But Who Will Notice? - Hackaday","Just when you though it was safe to venture out, the National Oceanic and Atmospheric Administration released an unexpected update. Magnetic North is on the move — faster than expected. That&…"
Sciencealert.com,2019-03-06T18:00:45Z,Physicists Want to Use Quantum Particles to Find Out What Happens Inside a Black Hole - ScienceAlert,"A new method for analysing the entanglement of scrambled particles could tell us how the Universe still keeps track of information contained by particles that disappear into black holes. It won't get our quantum information back, but it might at leas"
The Verge,2019-03-06T17:53:47Z,"Even in a warmer Europe, wind and solar could still keep the lights on - The Verge","A new study published today in the journal Joule investigates how the effects of climate change on wind, sunlight, and temperature might change electricity supply and demand in Europe. The study reports that a grid powered by wind and solar should be pretty r…"
Express.co.uk,2019-03-06T17:02:00Z,Solar storm WARNING: Experts urge for more protection or prepare for TECH BLACKOUT - Express.co.uk,SCIENTISTS have warned that humans need to prepare for a huge solar storm which could DEVASTATE technology on Earth.
Techxplore.com,2019-03-06T17:00:04Z,Improving solar cell efficiency with a bucket of water - Tech Xplore,"Looking at your cell phone, you realize the battery is low, which means you have to make another long walk into town to pay money to charge the device. By the time you get home, it's getting dark. You light the kerosene lamp that casts a dim glow across the r…"
Extremetech.com,2019-03-06T16:46:32Z,Blowing Up Doomsday Asteroids Could Be Even Harder Than Thought - ExtremeTech,"Uncountable sci-fi movies have told us that explosions are the answer to an impending asteroid strike, but a new analysis from Johns Hopkins University suggests that asteroids are probably considerably harder to damage than we thought, and even if you blow on…"
Phys.org,2019-03-06T15:53:19Z,Scientists find worms that recently evolved the ability to regrow a complete head - Phys.org,An international group of researchers including biologists from the University of Maryland found that at least four species of marine ribbon worms independently evolved the ability to regrow a head after amputation.
Fox News,2019-03-06T15:36:14Z,NASA has a problem – its Mars InSight lander has stopped digging - Fox News,"NASA said on Tuesday that its Mars InSight lander has encountered some problems and has stopped digging, likely due to hitting a rock or some gravel."
National Geographic,2019-03-06T14:47:56Z,Would dinosaurs have died off without an asteroid? Here's the science. - National Geographic,A new look at how dinosaurs fared before the catastrophe may also help scientists better understand responses to modern climate change.
Newsweek,2019-03-06T14:46:01Z,"First Planet Discovered With NASA's Kepler Telescope Finally Confirmed, 10 Years On - Newsweek","In 2009, NASA’s groundbreaking Kepler mission identified its first potential exoplanet."
Fox News,2019-03-06T14:43:40Z,Megalodon spent millions of years sharpening its massive teeth - Fox News,"The megalodon, considered one of, if not the largest marine predator to ever live, had enormous teeth, some approaching nearly 8 inches in length. But a new study states that the giant shark spent millions of years evolving its teeth before they took their ic…"
Ars Technica,2019-03-06T14:23:00Z,"NASA visualizes supersonic shockwaves in a new, awe-inspiring way - Ars Technica",Technique may one day lead to return of commercial supersonic flight.
Phys.org,2019-03-06T14:17:58Z,"The science of knitting, unpicked - Phys.org","Dating back more than 3,000 years, knitting is an ancient form of manufacturing, but Elisabetta Matsumoto of the Georgia Institute of Technology in Atlanta believes that understanding how stitch types govern shape and stretchiness will be invaluable for desig…"
