source,date,title,description
Wraltechwire.com,2019-03-06T19:42:43Z,Remember Blockbuster? There's only one store left - WRAL Tech Wire,"Although Sandi Harding, the general manager of the Oregon Blockbuster, is excited that the hers is the last Blockbuster on the planet, she expressed her condolences for friends at the Australia store."
Recode,2019-03-06T19:41:08Z,Why companies like Lyft and Uber are going public without having profits - Recode,The last time unprofitable companies went public at this rate was in 2000 — the year the dot-com bubble burst.
Yahoo.com,2019-03-06T19:38:00Z,Amazon's withdrawal from New York 'had little effect' on housing market: Beige Book - Yahoo Finance,"Amazon’s surprise move to scrap plans to build out a headquarters in New York has had little effect on the the local housing market, according to a report Wednesday from the Federal Reserve."
Marketwatch.com,2019-03-06T19:32:00Z,Amazon and the Trump Organization are at opposite ends of this reputation poll - MarketWatch,"At the top of the list, grocery chain Wegmans just bumped Amazon. At the bottom, there’s the U.S. government, with the Trump Organization just two spots higher. Sandwiched in between at No. 99 as the lowest scoring company on the list: tobacco giant Philip Mo…"
France24.com,2019-03-06T19:31:00Z,US growth to slow 'considerably' in 2019: NY Fed - FRANCE 24,
CNBC,2019-03-06T19:23:42Z,General Electric shares plummet—Jim Cramer and other experts react to the drop - CNBC,"General Electric shares are sinking on a scathing note from a top analyst and concerns around cash flow. CNBC's Jim Cramer, a GE analyst and an investment expert react."
Goerie.com,2019-03-06T19:18:23Z,Erie's Hagen moves up list of Forbes billionaires - GoErie.com,"In the year since Forbes last compiled its list of billionaires, Hagen saw his wealth climb from $2 billion to $2.8 billion, an increase of 40 percent."
Business Insider,2019-03-06T19:14:03Z,Chinese Tesla rival Nio is crashing after slashing its delivery outlook and calling off plans for a Shang.. - Markets Insider,Chinese Tesla rival Nio is crashing after slashing its delivery outlook and calling off plans for a Shanghai factory (NIO)
CNBC,2019-03-06T19:12:38Z,Buybacks are under attack again as a senator pushes to restrict insider sales after announcements - CNBC,Sen. Chris Van Hollen points to evidence from an SEC study indicating that share repurchases are benefiting corporate insiders at the expense of long-term investors.
CNN,2019-03-06T19:12:00Z,"A baby chihuahua, a set of gold teeth & 48 other things people left in their Uber - CNN",Uber released its annual Lost & Found Index this week. And it did not disappoint.
TechCrunch,2019-03-06T19:00:50Z,Zuckerberg wants messages to auto-expire to make Facebook a “living room” - TechCrunch,"On feed-based “broader social networks, where people can accumulate friends or followers until the services feel more public . . . it feels more like a town square than a more intimate space like a living room” Facebook CEO Mark Zuckerberg explained in a blog…"
Thetruthaboutcars.com,2019-03-06T18:55:37Z,"Ghosn Leaves Japanese Jail in Disguise, Out on $8.9 Million Bail - The Truth About Cars","Former Renault CEO Carlos Ghosn has left a Tokyo prison after posting bail to the tune of $8.9 million. His 108-day detention ended with the industry titan being escorted out out the building while wearing a disguise that entailed a cap, surgical mask, glasse…"
Bmwblog.com,2019-03-06T18:32:42Z,Geneva 2019: Bugatti La Voiture Noire is the most expensive new car ever - BMWBLOG,"At this year's 2019 Geneva Motor Show, Bugatti showed off the most expensive production car in history, the one-off La Voiture Noire."
Koat.com,2019-03-06T18:12:00Z,"Family Dollar to close nearly 400 stores, rebrand 200 other locations - KOAT Albuquerque",Other Family Dollars will keep the name but will be stacked with $1 Dollar Tree merchandise.
Ars Technica,2019-03-06T18:10:00Z,Las Vegas convention authority wants The Boring Company to build 2-mile loop - Ars Technica,Musk's company says it can deliver by early 2021 for $35 million to $55 million.
