source,date,title,description
Fox News,2019-02-28T15:58:12Z,Female football player makes history with first full scholarship offer - Fox News,"Antoinette 'Toni' Harris, a cancer survivor, has made history as the first female football player to receive a full scholarship to play the sport in a skill position."
Espn.com,2019-02-28T15:15:12Z,Ben Askren finally has his chance to prove he's the best in UFC - ESPN,It looked for a long time like undefeated welterweight Ben Askren would never get his chance in the UFC. He finally gets to prove whether he's the best when he makes his debut Saturday against Robbie Lawler.
Sbnation.com,2019-02-28T15:00:00Z,6 NFL players who didnâ€™t live up to combine workouts (but werenâ€™t busts) - SB Nation,"Mike Mamula, Tavon Austin, and one Estonian shot-putter all make the list."
Liverpoolecho.co.uk,2019-02-28T15:00:00Z,The unwelcome tactic boosting Liverpool title challenge - and how Divock Origi implemented it - Liverpool Echo,"Liverpool beat Watford 5-0, with Origi getting his second goal of the season in the rout"
Milehighsports.com,2019-02-28T15:00:00Z,2018 Season Review: Can Josey Jewell or Devin White replace Brandon Marshall? - Mile High Sports,"Should the Broncos restructure Marshall's deal to keep him on board for the foreseeable future, or should they move on and attempt to develop their young linebackers behind him? We look at all the options."
Bluegoldnews.com,2019-02-28T14:49:00Z,WVU Players Participating In NFL Combine Have Key Questions â€“ WVU | West Virginia Mountaineers sports coverage - Blue Gold News,
Packers.com,2019-02-28T14:31:20Z,Inbox: You never know what you're going to find - Packers.com,Itâ€™s the job of the GM to look beyond the shiny exterior of a prospect
Djournal.com,2019-02-28T14:26:00Z,Day After Observations: Ole Miss-Tennessee | Sports - Northeast Mississippi Daily Journal,Notes and thoughts from the Rebelsâ€™ 73-71 loss to Tennessee â€_
Mlbtraderumors.com,2019-02-28T14:25:00Z,Dodgers To Sign Brad Miller - MLB Trade Rumors,"The Dodgers have inked infielder Brad Miller to a minor league deal, Bill Shaikin of the Los Angeles Times reports &hellip;"
Bleacher Report,2019-02-28T14:20:06Z,"As Luka Doncic Turns 20, NBA Marvels at Runaway Rookie of the Year - Bleacher Report","LOS ANGELES â€” With  Dirk Nowitzki  celebrating an unofficial farewell tour in his 21st  NBA  season, the Dallas Mavericks are starting anew with one of the best young international players in the world..."
Espn.com,2019-02-28T13:53:55Z,"NBA draft lottery - Zion favorites, traded picks and tank races - ESPN",The race to the top of the NBA draft is different this season. Here are our projections.
