source,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
6abc.com,Temple University on alert after students test positive for mumps - WPVI-TV,0,0,0.534308,0,0,0.825035,0
Capitolfax.com,Your Illinois News Radar åÈ Vaccinate your kids! - The Capitol Fax Blog,0,0,0,0,0,0,0
CNN,Newly discovered Alzheimer's genes further hope for future treatments - CNN,0,0,0,0,0.882284,0,0.822231
Fox2detroit.com,"Jessica Starr's husband opens up about her suicide, eye surgery complications - Fox 2 Detroit",0,0,0,0.705367,0,0,0
The Hill,Texas lawmaker says he‰Ûªs not concerned about measles outbreak because of antibiotics | TheHill - The Hill,0,0,0,0,0.904038,0,0
Morningchalkup.com,CrossFit Open 19.2 Workout Description and Strategies - Morning Chalk Up,0,0,0.633956,0,0,0,0
Bbc.com,Should you go vegan for the sake of your gut? - BBC News,0,0,0,0,0,0,0
CNN,"Measles cases at 'alarmingly' high levels around the world, UNICEF says - CNN",0,0,0,0,0,0,0.75152
Nypost.com,Single yeshiva accounted for 21 new measles cases this month - New York Post ,0,0,0,0,0,0,0
Daily Mail,Medical marijuana is safe and effective for elderly people - Daily Mail,0,0,0,0,0.932977,0,0
Capitolfax.com,Your Illinois News Radar åÈ Vaccinate your kids! - The Capitol Fax Blog,0,0,0,0,0,0,0
Axios,"World Health Organization ""deeply concerned"" over attacks on Ebola clinics - Axios",0,0.789797,0,0,0,0,0
Consumerreports.org,Catching Up on Sleep on the Weekend Doesn't Work - ConsumerReports.org,0,0,0,0.617873,0,0,0
Wsfa.com,Alabama health officials warn against using CBD products - WSFA,0,0,0,0,0.901894,0,0
The New York Times,"States Consider Longer School Recess, and the Adults Aren‰Ûªt Complaining - The New York Times",0,0,0,0,0.560098,0,0
Fox News,Ohio mom diagnosed with colon cancer 6 months after giving birth - Fox News,0,0,0,0.741986,0,0,0
The Verge,How measles snuck into California despite strict vaccine legislation - The Verge,0,0,0,0,0.653099,0,0
Marketwatch.com,Here‰Ûªs the science behind the secret of a good marriage - MarketWatch,0,0,0.869798,0,0,0,0
The New York Times,How the Icefish Got Its Transparent Blood and See-Through Skull - The New York Times,0,0,0,0,0,0,0
NBC News,"Nursing home leadership faulted for adenovirus outbreak that killed 11 children, federal report says - NBC News",0,0,0,0,0.506763,0,0
Bloomberg,Why Sex-Related Infections Are Spreading Again: QuickTake - Bloomberg,0,0,0,0,0,0,0
Channel3000.com,"After near decapitation in trying to seek shelter from cold, Henry the kitty needs your help - Channel3000.com - WISC-TV3",0,0,0,0.521882,0,0,0
Fox News,Doctors on Facebook face harassment from anti-vaxxers - Fox News,0,0,0,0,0,0,0
NBC News,"Buttock implants linked to deadly cancer for the first time, study finds - NBCNews.com",0,0,0,0.533514,0.801827,0,0
Nih.gov,Data sharing uncovers five new risk genes for Alzheimer's disease - National Institutes of Health,0,0,0.502369,0,0,0,0
Abc11.com,"Health department confirms 98 flu deaths in North Carolina so far in the 2018-19 season, including a 5-17 year old - WTVD-TV",0,0,0,0,0.85365,0,0
Wsbtv.com,Active tuberculosis cases confirmed in two Floyd County elementary schools - WSB Atlanta,0,0,0,0,0.842108,0,0
Fox News,Rare 'semi-identical' twins discovered during Australian woman's pregnancy - Fox News,0,0,0,0,0.85365,0,0
Nypost.com,Florida woman bitten by stray kitten billed by hospital for $48G: ‰Û÷My funeral would have been cheaper‰Ûª - New York Post ,0,0,0,0.518346,0,0,0
Biospace.com,Novavax RSV Vaccine Fails to Hit Primary Endpoint in Phase III Trial - BioSpace,0,0,0,0,0,0,0
Fox17.com,"HIV prevention initiative to focus on State of Kentucky, Shelby County and other areas - WZTV",0,0,0,0,0.687768,0,0
Masslive.com,FDA: New voluntary recall of high blood pressure drug issued - MassLive.com,0,0.765003,0,0,0.905748,0,0
Wthr.com,"Prenatal vitamin use early in pregnancy associated with lower risk of autism, study finds - WTHR",0,0,0,0,0.532616,0,0
Thedenverchannel.com,"All students, staff at Aurora Hills Middle School during the fall to be tested for tuberculosis - The Denver Channel",0,0,0,0,0,0.638987,0
Forbes.com,Your Risk Of Prostate Cancer Just Dropped Precipitously. Here's Why - Forbes,0,0,0,0.683163,0,0,0.972662
Futurism.com,Study: Growing up Around Green Space Halves Mental Health Risk - Futurism,0,0,0,0,0,0,0.786991
Kwqc.com,Report: First pediatric death reported in Illinois from the flu - KWQC-TV6,0,0,0,0,0,0.579436,0
Fox News,Tooth pulled from inside man's nose after losing sense of smell - Fox News,0,0,0,0,0,0,0
Business Insider,39 delicious foods that are linked to a lower risk of cancer - Business Insider,0,0,0,0,0.560098,0,0
Npr.org,5 Strategies For Answering Kids' (Super) Tough Questions - NPR,0,0,0,0,0.97667,0,0
Vox.com,Seasonal affective disorder: Can light therapy treat SAD? - Vox.com,0,0,0,0.943001,0,0,0
Newser.com,Meteorologist Left Behind a 30-Page Suicide Note - Newser,0,0,0,0.756576,0,0,0
Medical News Today,Alcohol may be less harmful for people over 50 - Medical News Today,0,0,0,0.615109,0,0,0.75152
Lehighvalleylive.com,The flu's killed 57 people this season. Here's where it is worst in Pa. (MAP) - lehighvalleylive.com,0,0,0,0,0,0,0
Gaystarnews.com,British tabloid The Sun publishes 'appalling' and 'dangerous' story on couple with HIV - Gay Star News,0,0,0,0,0,0,0
Kcrg.com,Adults vaccinated as kids may not be protected against the measles now - KCRG,0,0,0,0,0.589295,0,0.716301
Wgntv.com,Spike in flu cases in Chicago-area schools; 1 child dead - WGN TV Chicago,0,0,0,0,0,0,0
Boston25news.com,Fortnite concerns: Doctors seeing game-obsessed children for health issues - Boston 25 News,0,0,0,0,0,0,0
Inforum.com,Minnesota's largest deer hunting group targets deer farms for chronic wasting disease policy - INFORUM,0,0,0,0,0,0,0
Fox News,Husband of Michigan TV meteorologist who committed suicide breaks silence - Fox News,0,0,0,0.794989,0,0.543112,0
Wgntv.com,Herbalist sentenced after death of diabetic boy advised not to use insulin - WGN TV Chicago,0,0,0,0.640844,0,0,0
Thetimes.co.uk,Antibiotic curbs put older people at risk | News - The Times,0,0,0,0,0.687768,0,0
NBC News,"Colon cancer often misdiagnosed, treatment delayed in many younger patients - NBCNews.com",0,0,0,0.70791,0,0,0
Goerie.com,"Fla. woman bitten by kitten gets $48,512 hospital bill - GoErie.com",0,0,0,0,0,0,0
Iflscience.com,"Almost Half Of All Children With Cancer Are Not Diagnosed, Study Suggests - IFLScience",0,0,0,0.576826,0,0,0
The Hill,CDC: Progress in preventing HIV 'stalled' | TheHill - The Hill,0,0,0,0,0,0,0
Atlantablackstar.com,"Dr. Bill Jenkins, Epidemiologist Who Fought to Expose Racist Tuskegee Syphilis Experiment, Dies at 73 - Atlanta Black Star",0.627652,0,0,0,0.677676,0,0
Nj1015.com,Measles back in NJ: Could've been spread at Hillsdale pharmacy - New Jersey 101.5 FM Radio,0,0,0,0,0.562568,0,0
Sciencenews.org,Treating mosquitoes may be a new way to fight malaria - Science News,0,0,0.516529,0,0,0,0.75152
Fox News,"Washington officials confirm case of crippling, highly infectious elk hoof disease in Blue Mountains - Fox News",0,0,0,0,0.797389,0,0
Ktvb.com,Health officials warn of hepatitis A spike in Boise region - KTVB.com,0,0,0,0,0,0,0
Wbur.org,'Does Your Knee Make More Of A Click Or A Clack?' ‰ÛÓ Teaching 'Car Talk' To New Docs - WBUR,0,0,0,0,0,0,0.5538
Nj.com,"4 kids were dead before doctor realized there was a crisis, scathing report says - NJ.com",0,0,0,0.563794,0,0,0
Newser.com,Radioactive Body Contaminates Arizona Crematorium - Newser,0,0,0,0,0,0,0
Medical News Today,New treatment under trial could restore brain cells in Parkinson's - Medical News Today,0,0,0,0,0,0,0.716301
Wcax.com,Vt. health commissioner sends letter to Congress on measles outbreaks - WCAX,0,0,0,0,0,0,0
Marketwatch.com,Do this 15 minutes a day to lose weight - MarketWatch,0,0,0,0.67487,0,0,0
Wsls.com,High blood pressure medication under recall - WSLS 10,0,0.842114,0,0,0.961593,0,0
CNN,Anti-vaccination conspiracy theories thrive on Amazon - CNN,0,0,0,0,0,0,0.681699
Weather.com,Flu Update: CDC Warns Cases of More Severe Strain of Influenza On the Rise - The Weather Channel,0,0,0,0,0,0,0
Abcactionnews.com,Blood pressure medication recalled due to small amounts of cancer-causing substance - ABC Action News,0,0.709137,0,0,0.958817,0,0
Fox News,Herbalist sentenced in death of 13-year-old diabetic patient - Fox News,0,0,0,0.614123,0,0,0
Idahonews.com,Washington says elk hoof disease found in Blue Mountains - Idaho News,0,0,0,0.514129,0.653099,0,0
Wjactv.com,"Deer removals planned in Clearfield, Jefferson counties to combat disease - WJAC Johnstown",0,0,0,0,0,0,0
Utah researchers identify potential treatment for pancreatic cancer - KSL.com,0,0,0,0.618121,0.687768,0,0,
2nd man apparently free of AIDS virus following stem cell transplant - CBS News,0,0,0,0,0.821913,0,0.62928,
Brain clue to 'broken heart' syndrome - BBC News,0,0,0,0.851411,0,0,0,
More students test positive for mumps at Temple University - WPVI-TV,0,0,0.764937,0,0,0.849827,0,
Galveston Co. reports 1st flu-related death of 2019 season - KTRK-TV,0,0,0,0,0,0,0,
â€˜Itâ€™s A Major Health Issueâ€™: Bed Bug Epidemic More Prevalent In Philadelphia Than Most Realize - CBS Philly,0,0,0,0,0,0,0,
"This Crossover Diet Is the Healthy, Low-Carb Plan You've Been Looking For - POPSUGAR",0,0,0.721476,0,0,0,0,
Chandler News Case of mumps confirmed at Hamilton High School abc15.com staff 4:31 PM - ABC15 Arizona,0,0,0,0,0.936566,0,0,
"Dogs' raw meat diet could be dangerous to them and owners, study says - CNN",0,0,0,0,0,0,0.681699,
"Brookfield man exposed to measles accused of violating quarantine, going to gym - WISN Milwaukee",0.730286,0,0,0,0,0,0,
"Stroke: How to spot the warning signs, symptoms - KABC-TV",0,0,0,0.576496,0,0,0,
"Philippine measles epidemic infects 14,938 and kills 238, officials say - Fox News",0,0,0,0,0,0,0,
"Scientists trained an AI to identify lung cancer, and now itâ€™s as smart as a pathologist - BGR",0,0,0.519038,0,0,0,0,
Son of anti-vaxxer mom who got all his shots at 18 will testify before Congress - Daily Mail,0,0,0,0,0,0.6821,0,
The human memoryâ€”facts and information - National Geographic,0,0,0,0.513304,0.982476,0.898327,0,
Experts supporting use of automatic monitors to measure blood pressure - kwwl.com,0,0.776479,0,0,0.905748,0,0,
One more time with feeling: no link found between measles vax - Cosmos,0,0,0,0,0.842108,0,0,
Yet another round of blood pressure meds hit with recall over cancer risk - BGR,0,0.727023,0,0,0.874319,0,0,
FDA to Approve Ketamine Nasal Spray as New Depression Treatment - WTTW News,0,0,0,0.68208,0,0,0,
"Stroke recovery: Obesity may improve odds of survival, study finds - NBCNews.com",0,0,0,0,0.620279,0,0.75152,
Vermont child dies from the flu - WCAX,0,0,0,0.538941,0,0,0,
Researchers Using Geisinger MyCode Database to Study Sudden Cardiac Death - WNEP Scranton/Wilkes-Barre,0,0,0,0,0.589295,0,0,
The 'Orchid And The Dandelion' Highlights Science Of Sensitive Kids : Shots - Health News - NPR,0,0,0.553975,0,0,0,0,
NJ Nursing Home Fined $600000 After 11 Disabled Children Died - The Mighty,0,0,0,0,0,0,0,
People in states where marijuana is legal are eating more cookies and ice cream - MarketWatch,0,0,0,0,0,0,0,
"Not even a social media star can make kids eat their veggies, study says - KSL.com",0,0,0,0,0,0,0.615352,
The unintended benefits of vaccines - MPR News,0,0,0,0,0.801827,0,0,
"Ebola treatment center in Congo reopens after attack, but without Doctors Without Borders - CNN",0,0.743038,0,0,0,0,0,
Teen Who Defied His Mom and Got Vaccinated to Testify to Congress About Need For Vaccines - KTLA Los Angeles,0,0,0,0,0,0,0,
Snacking can be good for you if you make healthy choices - Washington Post,0,0,0.804933,0,0.821913,0,0,
"Modified bacteria could protect crops and replace man-made pesticides, scientists say - The Independent",0,0,0,0,0.821913,0,0.716301,
A single yeshiva has been linked to 21 measles cases in Brooklyn as NYC outbreak continues - Daily Mail,0,0,0,0,0,0,0,
12 medications you should never mix with alcohol - AOL,0,0,0,0,0,0.660207,0,
"Diagnoses by Horn, Payment in Goats: An African Healer at Work - The New York Times",0,0,0,0,0,0,0,
"Snoring, sleep apnea linked to Alzheimer's disease, study claims - Fox News",0,0,0,0,0.541591,0,0,
"Child's dentist makes ""life saving"" find during routine cleaning - KOMO News",0,0,0,0,0.653099,0,0,
Lifestyle Why 'mushroom coffee' is the latest health craze rising in popularity Tory Dunnan 10:21 - ABC15 Arizona,0,0,0.628297,0,0,0,0,
