source,text,time,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative,username
,2019 NFL Draft receiver D.K. Metcalf has a crazy body fat percentage: Fact or Fiction? - Buffalo Rumblings,2019-03-05T13:30:00Z,0.0,0.0,0.0,0.0,0.7479939999999999,0.0,0.0,Buffalorumblings.com
,Duke Johnson reportedly drawing trade interest - NFL.com,2019-03-05T13:02:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NFL News
,Morning Report: Colby Covington details what happened in Las Vegas scuffle with Kamaru Usman - MMA Fighting,2019-03-05T13:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mmafighting.com
,"De Jong: ""Bar̤a have asked me to ensure Ajax eliminate Madrid"" - AS English",2019-03-05T12:16:22Z,0.0,0.0,0.0,0.525696,0.0,0.0,0.0,As.com
,Would Moving the Mound Back Be Baseball's Worst Rule Experiment? - Bleacher Report,2019-03-05T12:00:07Z,0.509134,0.0,0.0,0.0,0.762356,0.6011529999999999,0.0,Bleacher Report
,Syracuse basketball loses to Virginia 79-53: Brent Axe recap - syracuse.com,2019-03-05T11:46:00Z,0.0,0.0,0.0,0.5525760000000001,0.0,0.0,0.0,Syracuse.com
,Phillies plan for Bryce Harper must include Mike Trout - Sports Radio 94 WIP,2019-03-05T10:30:00Z,0.0,0.0,0.0,0.0,0.0,0.509368,0.0,Radio.com
,"President Trump Again Serves Fast Food to College Football Champs, Now to North Dakota State University - Newsweek",2019-03-05T07:10:02Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newsweek
,Quin Snyder shoulders blame for final Jazz possession in loss to Pelicans: 'I should have called timeout' - Deseret News,2019-03-05T06:09:00Z,0.0,0.0,0.0,0.805761,0.0,0.0,0.0,Deseretnews.com
,Carlisle after ugly 39-point loss: 'Got to do better' - ESPN,2019-03-05T05:59:30Z,0.0,0.0,0.0,0.8671760000000001,0.0,0.0,0.0,Espn.com
,03/04/19 Condensed Game: Maple Leafs @ Flames - NHL,2019-03-05T05:45:59Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Youtube.com
,"Mike Harrington: As frustration wanes for McDavid, it just keeps growing for Sabres - Buffalo News",2019-03-05T03:50:10Z,0.0,0.0,0.0,0.0,0.0,0.0,0.647986,Buffalonews.com
,Dwyane Wade Exchanges Jersey With Kevin Huerter Who Wore Number 3 Growing Up Because Of Wade - Bleacher Report,2019-03-05T03:18:22Z,0.0,0.0,0.0,0.0,0.8555719999999999,0.0,0.0,Youtube.com
,Kawakami: Farhan Zaidi is the Giants' best and most natural... - The Athletic,2019-03-05T03:10:39Z,0.0,0.0,0.723599,0.0,0.0,0.0,0.0,Theathletic.com
,"Dwyane Wade passes Michael Jordan for blocks milestone, hits clutch bucket in win over Hawks - Yahoo Sports",2019-03-05T01:57:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yahoo.com
,Thompson: The Warriors know Andrew Bogut very well and they... - The Athletic,2019-03-05T01:50:15Z,0.0,0.0,0.0,0.0,0.620279,0.8002600000000001,0.0,Theathletic.com
,"UFC 235 medical suspensions: Doctor must clear Mickey Gall to train again, let alone fight - MMAjunkie",2019-03-05T01:15:00Z,0.0,0.0,0.0,0.0,0.0,0.833309,0.0,Mmajunkie.com
