source,date,title,description
CNN,2019-03-04T16:49:08Z,Battle over 'stolen' Matisse goes to US Supreme Court - CNN,"Britain's National Gallery is to face an appeal in the United States Supreme Court after being sued for the return of a ""stolen"" Matisse portrait by descendents of the painting's subject."

Npr.org,2019-03-04T16:48:00Z,Comedian Trevor Noah Apologizes For Joke About War Between India And Pakistan - NPR,The Daily Show host says he's sorry for the joke in which he suggested that a war between the two countries would involve Bollywood-style song-and-dance numbers.

Rollingstone.com,2019-03-04T16:37:00Z,'Momo' Sculpture Has Been Destroyed - Rolling Stone,"Though the viral panic was most likely a hoax, the horror statue that inspired it was decidedly real"

Iheart.com,2019-03-04T16:11:11Z,Billy Baldwin Wishes Hailey Baldwin & Justin Bieber Hadn't Rushed Marriage - iHeartRadio,"Nonetheless, Baldwin is very happy for the pop power couple | iHeartRadio"

Thecut.com,2019-03-04T16:00:00Z,Kate Beckinsale and Pete Davidson Seem to Have Had a Nice Time at a Hockey Game - The Cut,"Just three friends, having a normal time at the hockey game."

Stereogum.com,2019-03-04T15:31:00Z,Solange 'When I Get Home' Review: Her Most Dreamlike Album Yet - Stereogum,"Unhurried tempos, vibrating synths, heavy psychedelic, jazz, and soul influences combine to make 'When I Get Home' Solange’s most dreamlike collection of songs yet."

IGN,2019-03-04T15:15:41Z,Game of Thrones Season 8 Set to Include 'The Longest Consecutive Battle Sequence Ever Committed to Film' - IGN,"Settle in for a Long Night, because it sounds like we're getting an episode-long battle."

Wkyt.com,2019-03-04T15:12:33Z,WWE Raw coming to Lexington in April - WKYT,WWE is bringing Monday Night Raw to Rupp Arena for the first time in nine years.

Eonline.com,2019-03-04T15:06:00Z,Ben Affleck Opens Up About Alcoholism and His Famous Family - E! NEWS,The two-time Oscar winner talked fatherhood and co-parenting with Jennifer Garner.

Nbcsports.com,2019-03-04T15:04:00Z,Will the Commissioner push the league to prevent another Rams-Saints debacle? - NBC Sports,"As the Competition Committee spins its wheels and tries to downplay the need for the kind of changes that will prevent the kind of outcome that was witnessed six weeks and one day ago in New Orleans and as ownership’s approach to the issue still unknown, othe…"

Collider.com,2019-03-04T15:00:56Z,The 7 Best Stefon Sketches Where Bill Hader Couldn't Keep it Together - Collider.com,"Watch the best Stefon sketches from 'SNL' where Bill Hader couldn't keep it together, usually when John Mulaney snuck surprise jokes into the cue cards."

Bustle.com,2019-03-04T15:00:00Z,"How Patty Jenkins Found The Light Within The Dark, Twisted Story Of 'I Am The Night' - Bustle","Though the Black Dahlia murder serves as the show's through-line, for director Patty Jenkins, I Am The Night was always about Fauna Hodel. The TNT series, loosely adapted from Hodel's 2008 memoir, recounts Hodel's search for her birth mother and the…"

Vulture.com,2019-03-04T14:50:54Z,John Oliver Prepares Kids for the Inevitable Robot Takeover - Vulture,A robot will take over your job one day. Allow Oliver to prepare you for that.

Pitchfork.com,2019-03-04T14:50:00Z,"Pharrell Reveals Something in the Water Festival 2019 Lineup: Travis Scott, Pusha-T, and More - Pitchfork","Missy Elliott, SZA, Rosalía, Mac DeMarco, Lil Uzi Vert, and many others set to perform at the inaugural Virginia Beach event"

Consequenceofsound.net,2019-03-04T14:34:00Z,Morrissey announces Broadway residency - Consequence of Sound,The seven-date retrospective takes place in May.

Stereogum.com,2019-03-04T14:24:00Z,"Watch Eddie Vedder Cover Jason Isbell's ""Maybe It's Time"" From 'A Star Is Born' - Stereogum","Bradley Cooper has said he modeled Jackson Maine, his character in A Star Is Born, off of Eddie Vedder — and although Maine's musical output marks him as more of an Eric Church-style country-rocker, you can certainly see the Pearl Jam frontman's influence on …"

Aol.com,2019-03-04T14:20:39Z,"Roseanne Barr labels #MeToo accusers 'hos,' says Kamala Harris 'slept her way to the bottom' - AOL",'They’re pretending that they didn’t go to trade sexual favors for money.'

Wikiofthrones.com,2019-03-04T14:10:32Z,Entertainment Weekly releases 16 cover photos featuring Game Of Thrones characters - Wiki Of Thrones,EW has just unveiled it's largest ever Game Of Thrones issue which consists of 78 pages of exclusive content that includes 16 new cover photos.

Youtube.com,2019-03-04T14:00:02Z,"Anna Wintour Talks the Kardashians, Dressing for an Interview, and How Not to Wear Leggings | Vogue - Vogue","In this week’s episode of Go Ask Anna, Vogue’s fearless editor-in-chief, Anna Wintour, weighs in on everything from the Kardashian-Jenner clan’s sense of sty..."

Menshealth.com,2019-03-04T14:00:00Z,What's It's Like to Lose Your Virginity in Your Mid-20s and Above - menshealth.com,So 'Bachelor' Colton Underwood hasn't had sex. Big deal.

Cagesideseats.com,2019-03-04T14:00:00Z,"WWE Raw preview (Mar. 4, 2019): Unleashed - Cageside Seats","Ending the Evil League of Evil might not be the epic storyline we’d all hoped they’d team up for, but at this point, it might be the best we’re gonna get. That, Batista, addressing Ronnie & The Man’s tweet war, and everything else we’re looking for on the Fas…"

Loudwire.com,2019-03-04T13:50:00Z,Alice Cooper + Halestorm Announce Co-Headlining US Tour Dates - Loudwire,The amphitheater run covers the country this summer.

Gothamist.com,2019-03-04T13:50:00Z,Video: John Mulaney Unveils A Bodega Bathroom Musical On Great 'Saturday Night Live' - Gothamist,"This was the best episode of the season so far, with musical-comedy sketches about bodega bathrooms, Woody Allen jokes, Bill Hader, dancing, Michael Cohen parodies, and more."

Pasadenanow.com,2019-03-04T13:37:00Z,"Golden Voice Silenced: Inspirational “Voice” Singer Janice Freeman, 33, Dies at Home in Pasadena | Pasadena California, Hotels,CA Real Estate,Restaurants,City Guide... - Pasadena.com - Pasadena Now","Daily Newsmagazine and City Guide to Pasadena, California featuring News, Events, Restaurants, Real Estate, Shopping and Lifestyles"

USA Today,2019-03-04T13:37:00Z,Why people are throwing their Vans shoes and sharing videos on social media - USA TODAY,The #VansChallenge might have you believing the popular shoes have cat-like reflexes.

Blabbermouth.net,2019-03-04T13:32:44Z,"SMASHING PUMPKINS To Team Up With NOEL GALLAGHER'S HIGH FLYING BIRDS, AFI For North American Tour - BLABBERMOUTH.NET",SMASHING PUMPKINS and NOEL GALLAGHER'S HIGH FLYING BIRDS will hit the road together this summer. AFI will join as special guest on all dates. The special run of dates will see both artists performi...

Screenrant.com,2019-03-04T12:46:11Z,The Walking Dead: Daryl Just Made A Really BIG Mistake - Screen Rant,Daryl makes a big mistake on The Walking Dead and his decision just might be the thing that kicks off their war with the Whisperers.

Npr.org,2019-03-04T12:00:00Z,The Dog Isn't Sleeping: How To Talk With Children About Death - NPR,"Whether it's a goldfish or Grandma, every child will encounter a death at some point — and their parents will likely struggle to explain it. NPR's Life Kit and Sesame Workshop have 6 insights to help."

CNN,2019-03-04T10:58:00Z,Kevin Spacey case heads back to court as defense casts wide net for cell phone records and other evidence - CNN,Kevin Spacey's sex abuse case returned to a Massachusetts court Monday as his defense team worked to obtain cell phone records and other evidence from the actor's accuser.

Vogue.com,2019-03-04T09:39:12Z,Stella McCartney Fall 2019 Ready-to-Wear Collection - Vogue.com,"Stella McCartney Fall 2019 Ready-to-Wear collection, runway looks, beauty, models, and reviews."

Yahoo.com,2019-03-04T09:13:00Z,'Leaving Neverland' shocks Twitter with explosive allegations [Video] - Yahoo Entertainment,"HBO documentary 'Leaving Neverland"" shocks fans with explosive details about Michael Jackson's alleged sexual misconduct with underage boys."

Hotnewhiphop.com,2019-03-04T08:42:00Z,Johnny Depp Files Defamation Suit Against Amber Heard - HotNewHipHop,"Johnny Depp strikes back at Amber Heard's allegations. Months after she came forward with detailed accounts of alleged abuse suffered at the hands of her ex-husband, Amber Heard has been hit with a $50 million lawsuit from Johnny Depp, who is suing his former…"

Tmz.com,2019-03-04T08:40:00Z,Damon Dash Plans to Surrender to NY Authorities Over Child Support Warrants - TMZ,Damon Dash says he's turning himself in over child support warrants.

Vulture.com,2019-03-04T06:58:00Z,"Oh No, Arcade Fire Covered Dumbo’s ‘Baby Mine’ and Now You’re Going to Cry Big Ol’ Elephant Tears - Vulture",Oh no.

Youtube.com,2019-03-04T04:00:02Z,"Kevin Jonas Gets Little Shine in ""Sucker"" Video | Nightly Pop | E! News - E! News",The Jonas Brothers are back with new music and we're way too excited! But one thing will never change--how much screen time the eldest brother gets. Watch! #...

