source,date,title,description
CNN,2019-02-27T16:14:00Z,Best Buy's hot streak continues - CNN,Best Buy got a big assist during the holidays from Americans who splurged on Apple watches and Amazon Echo devices.
Barrons.com,2019-02-27T16:09:00Z,Loweâ€™s Stock Rises Because Earnings Show Itâ€™s Catching Up With Home Depot - Barron's,"For years, Loweâ€™s lagged behind its larger rival,Â Home Depot. That has gradually been changing, as Loweâ€™s latest quarterly earnings report helps show."
Fortune,2019-02-27T15:27:40Z,Trump Softens Stance on China as Huawei Poses for Win - Fortune,Bob Lighthizer is trying to hang tough over Huaweiâ€”as Trump telegraphs more clearly than ever that heâ€™s losing patience.
Business Insider,2019-02-27T14:50:27Z,Elon Musk's erratic Twitter behavior escalated Wednesday when he changed his name to 'Elon Tusk' - Business Insider,The name change follows months of internet Musk memes like Elongated Muskrat.
The Verge,2019-02-27T14:10:59Z,FedEx unveils autonomous delivery robot - The Verge,"FedEx is getting into the autonomous delivery robot game with the FedEx SameDay Bot. The technology is still in the prototype stage, but first trials will take place this summer in Memphis."
CNN,2019-02-27T12:18:00Z,China lost 161 billionaires because its stock markets tanked - CNN,China's recent stock market turmoil has dealt a heavy blow to the ranks of its super-rich.
CNN,2019-02-27T06:26:00Z,Wynn Resorts hit with record fine for ignoring Steve Wynn misconduct allegations - CNN,"Wynn Resorts has been fined $20 million for its repeated failure to respond properly to sexual misconduct allegations against its founder and former CEO, Steve Wynn."
CNN,2019-02-27T01:53:00Z,Stranded Amtrak train heads north to Seattle. The trip's almost over for all the passengers - CNN,"After more than 36 hours in limbo, dozens of passengers exited an Amtrak train that had been stranded in deep snow in Oregon feeling a mix of relief and frustration."
Wlos.com,2019-02-27T01:45:44Z,Oprah-backed Weight Watchers tumbles on profit warning - WLOS,NEW YORK (AP) &mdash; Oprah Winfrey stands to see the value of her investment in Weight Watchers shrink after the company said it hasn't signed up as many subscribers as it hoped this winter and expects its profits to suffer. Weight Watchers International's sâ€_
Wbng.com,2019-02-26T16:12:18Z,US appeals court blesses AT&T's $81B merger with Time Warner - WBNG-TV,"A federal appeals court has blessed AT&T's takeover of Time Warner, defeating the Trump administration by affirming that the $81 billion merger won't harm consumers or competition in the booming pay TV market."
CNBC,2019-03-01T01:44:53Z,Elon Musk just sent this memo to employees about the cheaper Model 3 and store closures - CNBC,Tesla CEO Elon Musk sent an email to employees on Thursday night explaining the company's decision to reduce headcount in its sales and marketing divisions.
CNN,2019-03-01T01:00:00Z,HBO chief Richard Plepler leaves network he spent decades building in post-AT&T shakeup - CNN,HBO chief Richard Plepler announced Thursday that he is leaving the company after nearly 28 years.
The New York Times,2019-03-01T00:19:23Z,Gap Plans to Spin Off Old Navy After a Dismal Year - The New York Times,"Old Navy will become its own public company, while Gap will form another public company made up of its namesake label and its other brands like Banana Republic."
Gizmodo.com,2019-02-28T23:47:00Z,"Plagued by Predators, YouTube Is Disabling Comments on Most Videos Featuring Children - Gizmodo","YouTube has a genuine crisis on its hands after it was revealed that comments on its site were being used to organize a child exploitation network. Major advertisers are dropping like flies. In response, YouTube on Thursday announced that it is disabling commâ€_"
Ars Technica,2019-02-28T23:41:00Z,"Amazonâ€™s latest program to curb emissions? One delivery day per house, per week - Ars Technica","Amazon has been testing the program with a few customers, but now it becomes official."
Politico,2019-02-28T23:21:00Z,Lawyer: Adelson's health 'dire' - POLITICO,Adelson last year donated millions to two conservative super PACs ahead of the 2018 election.
Chicagotribune.com,2019-02-28T23:05:00Z,Stranded at Union Station? Uber and Lyft rides to the suburbs are going to cost you. - Chicago Tribune,"An Amtrak signal problem is prompting thousands of Chicago commuters to look for new ways home, and ride-share prices are high."
The Verge,2019-02-28T22:50:39Z,"Open letter from CEOs, politicians, and labor leaders asks Amazon to return to NYC - The Verge","Amazon has said itâ€™s ending plans for a New York City headquarters, but a group of state officials, businesspeople, and union leaders are asking the company to stay. In an open letter set to be published in the New York Times tomorrow, the group will ask Amazâ€_"
The New York Times,2019-02-28T22:50:31Z,Uber and Lyft Said to Offer Drivers a Chance to Participate in I.P.O.s - The New York Times,"The ride-hailing companies intend to set up programs to give cash to some of their drivers, enabling them to buy company stock ahead of an initial public offering."
